prime_mover,rowid,CHP_fixed_adj,CHP_variable_adj,age_fixed_adj,age_obs_fixed_adj,age_obs_variable_adj,age_variable_adj,capacity_adj,duct_burners_fixed_adj,fluidized_bed_variable_adj,gas_age_fixed_adj,gas_age_variable_adj,gas_fixed_adj,gas_pollution_fixed_adj,gas_starts_adj,gen_adj,oil_age_fixed_adj,oil_fixed_adj,oil_starts_adj,oil_variable_adj,pollution_fixed_adj,pollution_variable_adj,pulverized_coal_fixed_adj,starts_adj,supercritical_fixed_adj,supercritical_variable_adj,real_opex
ST,3755,0,0,704.2517028843821,509.1992337862844,421886.9954717483,583493.8768004039,57.12070643133919,0,0,704.2517028843821,583493.8768004039,57.12070643133919,3335.9481705520784,6169.036294584632,47326.23620886243,0,0,0,0,3335.9481705520784,2763934.148640898,0,6169.036294584632,0,0,2000002.0736316147
ST,3756,0,0,761.1517527427279,452.0098052299068,310407.46079151967,522703.667292597,57.10708452446332,0,0,761.1517527427279,522703.667292597,57.10708452446332,3281.9138224360036,6053.350959593112,39216.99240889054,0,0,0,0,3281.9138224360036,2253779.7286074157,0,6053.350959593112,0,0,1856148.8957953164
ST,3757,0,0,815.5108804298665,393.6342798181872,400594.4495840633,829930.5955429217,56.91802086444691,0,0,815.5108804298665,829930.5955429217,56.91802086444691,3267.1703807767426,7456.260733242545,57924.43496064099,0,0,0,0,3267.1703807767426,3324939.8934186585,0,7456.260733242545,0,0,3028434.95772877
ST,3758,0,0,863.2572038936914,333.2298469648594,433309.8776699721,1122522.1174630965,56.322166406254006,0,0,863.2572038936914,1122522.1174630965,56.322166406254006,3192.6913268966237,6082.793971875432,73237.59038359894,0,0,0,0,3192.6913268966237,4151562.955407909,0,6082.793971875432,0,0,1920263.8419921084
ST,3759,0,0,882.6242023453897,265.63517072681066,190496.64038894963,632961.9109274187,54.05194769246105,0,0,882.6242023453897,632961.9109274187,54.05194769246105,3000.08866009171,5567.350612323488,38762.617215634455,0,0,0,0,3000.08866009171,2151472.6722848597,0,5567.350612323488,0,0,1741592.1082490205
ST,3760,0,0,916.6834377249115,207.11151103302421,374620.7907139763,1658085.8908424238,52.90033524812034,0,0,916.6834377249115,1658085.8908424238,52.90033524812034,2866.164379602681,7882.149951969931,95685.48518061527,0,0,0,0,2866.164379602681,5184283.388438912,0,7882.149951969931,0,0,2313351.580545345
ST,3763,0,0,877.2309558766731,2134.172563034428,857563.19722813915,352493.0440298987,134.097114854348,0,0,877.2309558766731,352493.0440298987,134.097114854348,8396.193483167048,24942.063362908728,53883.52963832408,0,0,0,0,8396.193483167048,3373797.720336754,0,24942.063362908728,0,0,4086705.2846527775
ST,3764,0,0,1021.9284350683139,2021.3156882486783,981414.3937774688,496179.43472031155,135.51496973803773,0,0,1021.9284350683139,496179.43472031155,135.51496973803773,8249.99187541754,44042.36516486226,65796.91764449714,0,0,0,0,8249.99187541754,4005638.9123942885,0,44042.36516486226,0,0,11038598.337162754
ST,3765,0,0,-2412.458191018016,4733.166652858505,27531701.64280678,-14032693.968369115,340.1119653662343,0,0,-0,-0,0,0,0,1978350.1918227773,-13.03106838812492,1.837139518855967,40.417069414831275,10686.202455771449,0,0,340.1119653662343,7482.463238057155,0,0,28078250.634668864
ST,3766,0,0,-2046.931401645609,4339.951925785085,32511203.229584705,-15333857.133424511,336.0541532527035,0,0,-0,-0,0,0,0,2517429.9299567128,-5.904661448662777,0.9693954578932177,18.418513699971136,7261.880610740067,0,0,336.0541532527035,6385.028911801366,0,0,25852416.81916959
